Country Name,1960,1964,1968,1972,1976,1980,1984,1988,1992,1994,1998,2002,2006,2010,2014,2015
Afghanistan,8996351,9731361,10604346,11721940,12840299,13248370,12047115,11540888,13981231,16172719,18863999,21979923,25893450,28803167,32758020,33736494
Albania,1608800,1814135,2022272,2243126,2458526,2671997,2904429,3142336,3247039,3207536,3128530,3051010,2992547,2913021,2889104,2880703
Algeria,11124888,12295970,13744387,15377093,17190239,19337715,21893853,24591492,27181094,28362253,30335732,31995046,33777915,36117637,39113313,39871528
American Samoa,20013,22698,25885,28492,30321,32457,37688,44047,49593,51803,55901,58731,58650,55637,55437,55537
Andorra,13411,17469,21890,26892,31777,36067,42706,50434,58888,62677,64142,70049,80991,84449,79223,78014
Angola,5643182,6093321,6523791,7094834,7900997,8929900,10277321,11513968,12968345,13841301,15504318,17572649,20262399,23369131,26920466,27859305
Antigua and Barbuda,55339,59524,64655,69176,72285,73442,70725,67058,68427,71719,79851,86266,90301,94661,98875,99923
Argentina,20619075,21953929,23261278,24782949,26477152,28105888,29920904,31795517,33655151,34558115,36241590,37889370,39558890,41223889,42981515,43417765
Armenia,1874120,2144998,2401140,2650484,2889579,3099751,3285595,3504651,3442810,3283660,3108684,3033897,2958500,2877311,2906220,2916950
Aruba,54211,57032,58386,59840,60586,60096,62836,61079,68235,76700,87277,94992,100832,101669,103795,104341
Australia,10276477,11167000,12009000,13177000,14033000,14692000,15544000,16532200,17495000,17855000,18711000,19651400,20697900,22031750,23460694,23789338
Austria,7047539,7223801,7415403,7544201,7565525,7549433,7561434,7585317,7840709,7936118,7976789,8081957,8268641,8363404,8541575,8633169
Azerbaijan,3895396,4456689,4960235,5385267,5768724,6150738,6557585,7010036,7382000,7597000,7913000,8171950,8484550,9054332,9535079,9649341
"Bahamas, The",109528,133698,158627,177839,192902,210661,230015,247579,266134,275895,290060,309157,335830,360832,382169,386838
Bahrain,162427,182887,200653,229155,283752,359888,407227,465202,523087,549588,613702,735148,958414,1240862,1336397,1371855
Bangladesh,48199747,54129100,61579473,67597470,72999136,81470860,90732362,100975321,111221938,116182267,126447965,136600667,145368004,152149102,159405279,161200886
Barbados,230939,234547,237199,241441,247444,252194,255193,258527,262184,264015,267950,271478,275039,279569,283385,284217
